CrtSize,Brdgm2,BrdPrice,Quantity,InkCover,InkPriceKg,Mcost,Price
144144,265,865,5000,1,10,1449,311
154112,265,895,100000,2,11,1753,26
116875,240,560,2000000,2,11,8313,9
116875,230,560,2000000,2,11,8313,9
116875,215,550,2000000,2,11,8313,9
205335,265,865,5000,1,11,1457,313
164020,240,865,1000,2,11,856,908
128989,240,865,1000,2,11,855,906
116875,240,865,1000,2,11,855,906
396000,240,640,50000,1,12,1565,40
396000,240,615,50000,1,12,1565,40
1092000,241,790,2000,1,12,934,532
1029990,240,586,2000,1,12,934,519
668325,285,586,2500,1,12,1094,294
144918,285,865,5000,1,12,1110,247
144918,285,865,5000,1,12,1079,224
2592000,325,566,10000,1,12,1364,190
337500,265,621,10000,1,12,1364,188
337500,265,621,10000,1,12,1364,188
33750,265,560,10000,1,12,1364,184
2592000,325,566,10000,1,12,1013,160
680000,240,586,10000,1,12,1076,127
680000,285,586,10000,1,12,1076,127
118800,240,576,10000,1,12,1060,120
118800,240,576,10000,1,12,1060,120
548800,265,586,33000,1,12,2261,107
704628,230,586,40000,1,12,1431,58
461817,265,586,282000,1,12,7130,42
461817,265,586,282000,1,12,4060,31
93060,265,576,50000,1,12,918,24
116875,269,1425,300000,1,12,3340,21
116875,240,640,400000,1,12,1352,18
116875,240,690,300000,1,12,2817,16
305009,285,576,8500,2,12,1111,160
446215,285,605,6000,2,12,758,148
407680,325,576,18500,2,12,1148,147
305009,265,576,100000,2,12,1148,147
305009,265,576,100000,2,12,1148,147
407680,325,566,10000,2,12,850,114
446215,285,605,10000,2,12,790,98
117216,240,586,15000,2,12,1053,81
423360,285,605,18000,2,12,962,75
407680,325,576,50000,2,12,2284,72
407680,325,576,50000,2,12,2284,72
407680,265,646,50000,2,12,2284,72
228480,265,576,2000,2,12,2284,72
669780,350,520,10000,2,12,2119,71
439040,350,520,130000,2,12,2119,71
439040,285,574,130000,2,12,2119,71
407680,325,576,6500,2,12,2119,71
407680,325,576,50000,2,12,2119,71
117216,240,586,15000,2,12,787,61
577885,285,605,50000,2,12,1575,56
468160,285,605,50000,2,12,1575,56
446215,285,605,50000,2,12,1575,56
446215,255,860,50000,2,12,1575,56
446215,235,860,50000,2,12,1575,56
446215,270,760,50000,2,12,1575,56
423360,285,605,50000,2,12,1575,56
423360,285,605,50000,2,12,1575,56
423360,265,605,50000,2,12,1575,56
423360,265,605,50000,2,12,1575,56
423360,285,605,50000,2,12,1575,56
407680,285,630,50000,2,12,1575,56
407680,265,630,50000,2,12,1575,56
407680,285,605,50000,2,12,1575,56
407680,265,605,50000,2,12,1575,56
407680,285,605,50000,2,12,1575,56
332750,285,625,6500,2,12,1575,56
211750,285,625,6500,2,12,1575,56
211750,285,625,6500,2,12,1575,56
122290,265,605,90000,2,12,1575,56
305009,265,621,150000,2,12,4547,56
439040,350,520,130000,2,12,4226,54
446215,285,810,70000,2,12,1109,42
150544,265,576,50000,2,12,1659,42
446215,285,700,50000,2,12,1080,40
446215,280,605,50000,2,12,1109,38
150544,265,576,50000,2,12,999,28
78033,240,640,75000,2,12,1649,28
78033,240,640,75000,2,12,1224,22
154112,240,895,100000,2,12,1308,22
164025,240,640,75000,2,12,1242,22
134480,240,640,75000,2,12,1242,22
134480,240,640,75000,2,12,1242,22
78033,240,640,75000,2,12,1242,22
78033,230,640,75000,2,12,1242,22
1553250,325,576,1000,2,12,954,1052
537516,265,576,1000,2,12,954,1052
467400,285,576,166000,2,12,954,1052
467400,285,576,166000,2,12,954,1052
295800,330,850,74000,2,12,954,1052
240750,272,1425,15000,2,12,954,1052
164025,240,586,50000,2,12,954,1052
112632,240,586,50000,2,12,954,1052
405000,240,636,1000,2,12,948,1021
377315,265,576,1000,2,12,931,1004
377315,265,576,1000,2,12,928,996
216000,285,576,1000,2,12,922,984
1193125,285,576,1000,2,12,918,976
1193125,285,576,1000,2,12,918,976
939600,285,576,1000,2,12,918,976
628320,285,576,1000,2,12,918,976
528360,285,576,1000,2,12,918,976
528360,285,576,1000,2,12,918,976
528360,285,634,1000,2,12,918,976
528360,285,576,1000,2,12,918,976
276066,285,576,1000,2,12,918,976
184800,285,576,1000,2,12,918,976
184800,285,576,1000,2,12,918,976
166600,285,576,1000,2,12,918,976
69983,285,576,1000,2,12,918,976
69983,285,576,1000,2,12,918,976
594017,285,576,1000,2,12,917,973
594017,285,576,1000,2,12,917,973
277705,285,576,1000,2,12,917,973
277705,285,576,1000,2,12,917,973
277705,285,634,1000,2,12,917,973
277705,285,576,1000,2,12,917,973
166600,285,576,1000,2,12,917,973
159638,285,576,1000,2,12,917,973
159638,285,576,1000,2,12,917,973
123034,285,576,1000,2,12,917,973
123034,285,576,1000,2,12,917,973
311575,325,820,100000,2,12,859,918
243000,240,640,2000,2,12,1089,585
754630,265,576,2000,2,12,1004,579
754630,265,576,2000,2,12,993,563
765000,285,576,2000,2,12,937,535
1029990,285,576,2000,2,12,934,526
680000,285,576,2000,2,12,934,526
243000,240,640,2000,2,12,880,474
646380,285,605,2000,2,12,738,413
430920,285,605,2000,2,12,738,413
233147,285,605,2500,2,12,939,407
265650,285,576,2000,2,12,726,393
250000,285,605,2000,2,12,725,393
225000,285,605,2000,2,12,725,393
112746,240,586,3000,2,12,935,335
160650,285,586,2500,2,12,725,312
169050,240,586,2500,2,12,725,312
120750,240,586,2500,2,12,724,311
86940,240,586,2500,2,12,723,309
835820,285,576,5000,2,12,1133,288
670800,285,865,5000,2,12,929,225
525096,285,865,5000,2,12,919,220
421200,285,865,5000,2,12,915,217
169050,240,586,12000,2,12,925,195
311575,325,576,5000,2,12,748,171
226389,265,576,7000,2,12,1005,164
240750,272,1450,15000,2,12,1986,163
240750,272,1425,15000,2,12,1986,163
108360,240,615,200000,2,12,1986,163
226389,265,576,7000,2,12,996,161
423500,240,586,10000,2,12,1148,137
224000,240,636,10000,2,12,1124,130
224000,240,636,10000,2,12,1124,130
1190400,325,566,10000,2,12,901,129
704628,325,566,10000,2,12,898,125
704628,325,576,10000,2,12,898,124
704628,325,633,10000,2,12,898,124
704628,325,576,10000,2,12,898,124
1536150,240,586,1000,2,12,1060,120
85500,240,596,10000,2,12,1023,118
113750,260,660,10000,2,12,1004,114
318270,215,606,4000,2,12,1001,113
113750,240,586,10000,2,12,1004,113
1575645,285,576,10000,2,12,826,105
1575645,285,576,10000,2,12,826,105
1575645,285,576,10000,2,12,826,105
799664,325,576,5000,2,12,826,105
799664,285,576,100000,2,12,826,105
799664,265,576,100000,2,12,826,105
507297,285,576,50000,2,12,826,105
507297,285,576,50000,2,12,826,105
507297,285,576,50000,2,12,826,105
507297,285,576,50000,2,12,826,105
476160,285,576,100000,2,12,826,105
391816,240,800,31000,2,12,1358,102
391816,240,800,55000,2,12,1358,102
391816,240,800,55000,2,12,1358,102
155574,240,800,55000,2,12,1358,102
155574,240,800,55000,2,12,1358,102
